PRT_ID,AREA,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,QS_OVERALL,REG_FEE,COMMIS,SALES_PRICE,DATE_DIFF,YEAR
P07346,0,0.3724,0.48,1.0,1.0,3,-2,1,1,-1,1,1,0.8400000000000001,0.62,0.62,0.6901408450704226,0.2520738432518025,0.05562721409755655,9185970,0.4,0.9880597014925373
P06851,2,0.804,0.57,3.0,2.0,5,1,0,1,-2,0,2,0.6799999999999999,0.9,0.6799999999999999,0.7505030181086519,0.33311786909937985,0.5292841210726578,10925400,0.18181818181818182,0.9945273631840796
P04665,0,0.4296,0.5,1.0,1.0,3,-2,0,1,-2,0,1,0.6,0.6799999999999999,0.9800000000000001,0.7505030181086519,0.2935405448805901,0.1748993247948648,9627380,0.2909090909090909,0.9920398009950249
P00902,-1,0.7888,0.555,2.0,1.0,5,0,0,1,-2,-1,2,0.82,0.8800000000000001,0.5599999999999999,0.7223340040241448,0.4952597868530229,0.33724528416144367,13922760,0.09090909090909091,0.9990049751243781
P00293,-1,0.674,0.525,1.0,1.0,4,-1,0,0,-2,0,3,0.5599999999999999,0.8800000000000001,0.8,0.7525150905432596,0.3585954984236555,0.35610258273533774,12601080,0.6181818181818182,0.9850746268656716
P02235,-2,0.452,0.145,1.0,1.0,3,-1,1,-1,-1,1,2,0.45999999999999996,0.5,0.44000000000000006,0.4607645875251509,0.47607127394244664,0.10805906278701265,13383350,0.5454545454545454,0.9855721393034826
P04080,1,0.5204,0.295,1.0,1.0,3,2,1,1,-2,0,0,0.5599999999999999,0.54,0.76,0.6378269617706238,0.3631212636774053,0.14423956157083598,7939625,0.12727272727272726,0.9965174129353234
P02677,-2,0.292,0.925,1.0,1.0,2,0,1,0,-1,0,1,0.54,0.9199999999999999,0.9800000000000001,0.8410462776659959,0.26978662942794246,0.10716484492485946,8848285,0.7090909090909091,0.981094527363184
P00755,-1,0.7224,0.69,2.0,1.0,5,-1,0,0,0,1,2,0.82,1.0,0.6,0.7706237424547284,0.43789243456290233,0.22886729039876463,11338200,0.6363636363636364,0.9840796019900497
P06980,-3,0.7924,0.865,2.0,1.0,5,0,0,0,-1,-1,1,0.4,0.62,0.64,0.5543259557344065,0.37939999308888306,0.44172141984840685,12872430,0.16363636363636364,0.9950248756218906
P02696,-2,0.3472,0.075,1.0,1.0,3,2,0,1,0,0,1,0.45999999999999996,0.42000000000000004,0.4,0.4245472837022133,0.3308331351468917,0.14601386744179004,9042050,0.18181818181818182,0.9955223880597015
P01517,-1,0.6884,0.585,1.0,1.0,4,0,1,1,-1,1,3,0.4,0.5599999999999999,0.58,0.5241448692152918,0.4232886346681952,0.45037090865049806,14874380,0.36363636363636365,0.991044776119403
P09650,3,0.702,0.08,2.0,1.0,4,0,1,1,1,0,-1,0.96,0.9,0.9,0.9215291750503019,0.31168222684318475,0.35078370222343336,10222380,0.34545454545454546,0.9885572139303482
P05950,-3,0.6836,0.65,1.0,1.0,4,-1,0,1,0,0,2,0.96,0.64,0.86,0.8450704225352114,0.4598951949443147,0.18267881834054966,12928590,0.10909090909090909,0.9965174129353234
P05051,2,0.8456,0.23,3.0,2.0,5,0,1,-1,0,0,2,0.54,0.6,0.78,0.6579476861167003,0.6426667967582796,0.5672873709389288,17564820,0.38181818181818183,0.9895522388059701
P04978,1,0.4904,0.9,1.0,1.0,3,2,0,0,1,1,-1,0.8,0.74,0.9400000000000001,0.8430583501006037,0.1566272529733048,0.230799043207073,4971250,0.4909090909090909,0.9865671641791045
P03704,3,0.6592,0.555,2.0,1.0,4,-1,1,1,0,1,0,0.86,0.58,0.4,0.5995975855130785,0.2796156605909818,0.16660308232658128,9170660,0.23636363636363636,0.9940298507462687
P02247,0,0.3424,0.18,1.0,1.0,3,0,1,1,-2,0,3,0.42000000000000004,0.72,0.7,0.6277665995975855,0.3376985167523442,0.20959417042621695,10383420,0.4727272727272727,0.9875621890547264
P07194,-2,0.3616,0.26,1.0,1.0,3,0,0,-1,-1,-1,3,0.76,0.64,0.52,0.619718309859155,0.35372925902663016,0.046836426761942246,11601400,0.7272727272727273,0.9796019900497512
P01107,0,0.4792,0.525,1.0,1.0,3,2,0,1,1,-1,2,0.78,0.6799999999999999,0.8800000000000001,0.7746478873239437,0.25990576488786715,0.1998183304568989,8249260,0.6545454545454545,0.9830845771144279
P02442,1,0.3724,0.08,1.0,1.0,3,0,0,-1,1,1,-1,0.8,0.8400000000000001,0.48,0.688128772635815,0.2964350832687957,0.33642777121748874,6944500,0.32727272727272727,0.9915422885572139
P06444,1,0.516,0.43,1.0,1.0,3,0,1,0,1,1,2,0.62,0.42000000000000004,0.82,0.6438631790744468,0.36996326944615526,0.18760408150906835,7745000,0.8727272727272727,0.9756218905472637
P05298,1,0.2028,0.245,1.0,1.0,2,-2,1,0,-1,0,2,0.52,0.9199999999999999,0.9199999999999999,0.8048289738430584,0.25615038590457373,0.1503093428608916,5728000,0.8363636363636363,0.9771144278606965
P05882,2,0.9968,0.565,4.0,2.0,6,-2,0,-1,0,1,1,0.86,0.9199999999999999,0.76,0.8430583501006037,0.9325434333209339,0.4535804039119508,18725520,0.2909090909090909,0.9915422885572139
P02558,1,0.3404,0.525,1.0,1.0,2,1,0,0,1,-1,0,0.8,0.76,0.5,0.6720321931589537,0.17063954256536595,0.07931894106841877,3572250,0.5272727272727272,0.9860696517412936
P09483,-1,0.7528,0.945,2.0,1.0,5,-2,1,1,-1,0,3,0.78,0.9,0.9400000000000001,0.8848585006816537,0.4404749563481658,0.5508159990310958,16051580,0.38181818181818183,0.9875621890547264
P06006,-3,0.684,0.075,1.0,1.0,4,2,1,-1,1,0,2,0.54,0.8,0.44000000000000006,0.5684104627766601,0.8218527484902258,0.3264561318517173,20215970,0.2,0.9940298507462687
P04106,1,0.5648,0.14,2.0,2.0,4,0,0,0,-1,0,1,0.82,0.58,0.62,0.6720321931589537,0.2554775683438321,0.3890089926423835,8379000,0.509090909090909,0.9860696517412936
P09556,-2,0.3116,0.255,1.0,1.0,2,2,0,0,-2,-1,0,0.72,0.8800000000000001,0.48,0.6358148893360162,0.19357530373342602,0.06407686640223656,5290635,0.16363636363636364,0.9935323383084577
P00389,-1,0.662,0.095,1.0,1.0,4,-2,0,1,1,0,2,0.42000000000000004,0.86,0.78,0.6961770623742455,0.3826197605094713,0.48128299068438957,12548930,0.6181818181818182,0.9850746268656716
P05245,1,0.376,0.835,1.0,1.0,3,0,0,0,1,1,2,0.54,0.54,0.82,0.6559356136820925,0.2679063990844803,0.13006530010799244,5857750,0.8909090909090909,0.9756218905472637
P01690,2,0.6668,0.63,2.0,1.0,4,1,1,0,0,1,3,0.96,0.42000000000000004,1.0,0.818913480885312,0.3707712603234809,0.541462036111868,10729700,0.09090909090909091,0.9985074626865672
P07753,2,0.7704,0.245,3.0,2.0,5,-1,1,-1,0,1,3,0.62,0.58,0.9400000000000001,0.7404426559356138,0.8296643433117665,0.30896135485108145,17006780,0.16363636363636364,0.9945273631840796
P08611,-2,0.2872,0.375,1.0,1.0,2,1,1,1,-1,-1,0,0.4,0.78,0.6799999999999999,0.619718309859155,0.21512071078805028,0.11243528022527023,5570050,0.5454545454545454,0.9835820895522388
P01934,1,0.218,0.77,1.0,1.0,2,1,0,1,-1,-1,2,0.62,0.44000000000000006,0.6799999999999999,0.5935613682092556,0.16844627927823547,0.17894651850506152,3854375,0.5454545454545454,0.9860696517412936
P06326,1,0.4996,0.125,1.0,1.0,3,0,1,1,-1,0,2,0.5599999999999999,0.74,0.7,0.6740442655935615,0.3232065143375186,0.2428881420252117,8594875,0.6545454545454545,0.9815920398009951
P00865,-1,0.7576,0.935,2.0,1.0,5,1,1,0,-2,0,1,0.4,0.74,0.8800000000000001,0.7052313883299799,0.4131201457026065,0.32819814091500893,13549250,0.8181818181818182,0.9791044776119403
P02088,1,0.5876,1.0,2.0,2.0,4,-2,0,-1,-2,-1,0,0.9400000000000001,0.4,0.48,0.5975855130784709,0.28907067836678113,0.26792422361502205,9480750,0.09090909090909091,0.9980099502487563
P07770,-2,0.3664,0.16,1.0,1.0,3,2,1,0,-1,-1,-1,0.72,0.6,0.78,0.7303822937625755,0.23177955163112524,0.047213895701496755,5847520,0.509090909090909,0.9850746268656716
P08118,0,0.3736,0.055,1.0,1.0,3,0,1,0,0,1,3,0.6799999999999999,0.8,0.76,0.7565392354124748,0.3158268643246111,0.11761084365317266,9710900,0.4,0.9880597014925373
P03221,1,0.6764,0.5,2.0,2.0,4,-2,0,0,0,0,3,0.8,0.78,0.7,0.7585513078470826,0.3247798097816697,0.36046467032024304,9398750,0.5636363636363636,0.9850746268656716
P03273,1,0.4944,0.18,1.0,1.0,3,2,0,-1,-2,1,-2,0.6599999999999999,0.6599999999999999,0.4,0.5593561368209256,0.340106227932702,0.23108567737507696,8806250,0.7090909090909091,0.981094527363184
P08667,-1,0.6308,0.115,1.0,1.0,4,1,1,1,0,1,2,0.76,0.9400000000000001,0.78,0.818913480885312,0.30712088966401807,0.39038160696803625,12087330,0.6545454545454545,0.9805970149253731
P03791,-3,0.766,0.065,2.0,1.0,5,1,1,1,0,0,2,0.9199999999999999,0.45999999999999996,0.9,0.8018108651911469,0.3601820062972471,0.3433695663144296,14175620,0.7454545454545455,0.9800995024875622
P01247,-3,0.64,0.77,1.0,1.0,4,-1,1,0,-1,0,2,0.78,0.54,0.5,0.6116700201207244,0.3150056610178449,0.3368779079742837,11920820,0.38181818181818183,0.9905472636815921
P02391,3,0.6316,0.29,2.0,1.0,4,-2,1,-1,-1,1,-2,0.9199999999999999,0.45999999999999996,0.45999999999999996,0.579476861167002,0.4754096361296932,0.4855925959568434,13364730,0.43636363636363634,0.9885572139303482
P07825,-2,0.504,0.445,2.0,2.0,4,1,0,1,0,-1,-1,0.76,0.82,0.9,0.8470824949698189,0.26033567701504795,0.06987212482716161,6922975,0.45454545454545453,0.9865671641791045
P05787,-2,0.4084,0.88,1.0,1.0,3,2,0,-1,0,1,-2,0.7,0.96,0.5,0.6559356136820925,0.367781185907013,0.353444151754625,11673175,0.09090909090909091,0.9970149253731343
P02285,2,0.8696,0.24,3.0,2.0,5,-1,1,1,1,1,3,0.58,0.42000000000000004,0.45999999999999996,0.4869215291750503,0.5578988984899209,0.633166802918824,13069740,0.41818181818181815,0.9890547263681592
P05304,-3,0.6356,0.195,1.0,3.0,4,1,0,1,1,0,1,0.42000000000000004,0.5,0.9,0.6358148893360162,0.4592406715166446,0.17255780623933953,12212350,0.8,0.9781094527363184
P05309,-2,0.2672,0.885,1.0,1.0,2,-2,1,-1,0,0,-2,0.9800000000000001,0.58,0.7,0.7645875251509054,0.3344513081321487,0.20757965704827364,10283575,0.09090909090909091,0.9975124378109452
P09664,3,0.6896,0.58,2.0,1.0,4,-2,1,0,-1,-1,1,0.76,0.44000000000000006,0.4,0.5110663983903421,0.3641132122261724,0.30734449591748164,8956480,0.9818181818181818,0.9711442786069652
P02813,-2,0.356,0.58,1.0,1.0,3,-2,1,0,-2,1,0,0.5,0.9400000000000001,1.0,0.8430583501006037,0.2556676240596307,0.08704797085213109,7187350,0.5454545454545454,0.9855721393034826
P08933,-2,0.4872,0.255,2.0,2.0,4,2,0,-1,1,-1,-2,0.9400000000000001,0.78,0.6599999999999999,0.7726358148893361,0.3834104735944516,0.279211957893037,12574850,0.5454545454545454,0.9835820895522388
P03590,-3,0.7168,0.205,1.0,1.0,4,-1,1,0,-1,0,3,0.54,0.52,0.4,0.48189134808853124,0.5229398265309648,0.5052694260251713,13906270,0.38181818181818183,0.9900497512437811
P01725,1,0.5512,0.96,2.0,2.0,4,0,0,1,-2,0,3,0.8400000000000001,0.5599999999999999,0.52,0.6317907444668008,0.3023867745613982,0.42039947113977455,9917500,0.16363636363636364,0.9965174129353234
P06570,1,0.3592,0.36,1.0,1.0,3,1,1,-1,-2,1,2,0.48,0.62,0.42000000000000004,0.5010060362173039,0.3508306552755198,0.43549015452003914,8629750,0.5272727272727272,0.9850746268656716
P02686,-3,0.7712,0.74,2.0,1.0,5,1,0,0,1,-1,2,0.6799999999999999,0.82,0.48,0.6388329979879276,0.474307922782497,0.21195385593605232,11667050,0.18181818181818182,0.9955223880597015
P07789,0,0.4932,0.12,2.0,1.0,4,-2,0,0,0,0,3,0.44000000000000006,0.4,0.9199999999999999,0.5714285714285714,0.24943948808950303,0.217981247666051,9817150,0.6,0.9825870646766169
P08836,3,0.6472,0.5,2.0,1.0,4,0,1,1,-2,1,0,0.8,0.86,0.82,0.8390342052313884,0.3765765985515112,0.1869803494110879,9263050,0.7272727272727273,0.9786069651741294
P02716,1,0.2508,0.245,1.0,1.0,2,-1,0,0,-2,0,3,0.86,0.5599999999999999,0.5,0.6297786720321932,0.22763491414969886,0.18616081791665406,6587500,0.509090909090909,0.9865671641791045
P09780,3,0.6252,0.215,2.0,1.0,4,-1,0,0,0,0,3,0.9400000000000001,0.9,0.52,0.8008048289738431,0.30874398580375273,0.3956096527083901,9799360,0.509090909090909,0.9835820895522388
P06528,1,0.6772,0.935,2.0,2.0,4,2,1,-1,-2,0,0,0.78,0.42000000000000004,0.78,0.676056338028169,0.3903205741918567,0.33592717069872124,12801500,0.10909090909090909,0.9965174129353234
P06989,-1,0.6088,0.425,1.0,1.0,4,1,0,-1,1,0,1,0.8400000000000001,0.72,0.7,0.7515090543259557,0.5144523651265039,0.3523278933397927,17454510,0.7818181818181819,0.9781094527363184
P07824,-2,0.436,0.855,1.0,1.0,3,1,1,1,0,0,2,0.62,0.54,0.45999999999999996,0.5271629778672032,0.3797374182099801,0.19847195728747186,9832420,0.509090909090909,0.9850746268656716
P00545,0,0.434,0.745,1.0,1.0,3,-2,1,-1,-2,0,1,0.5599999999999999,0.76,0.9199999999999999,0.7651251435746411,0.3941521787296147,0.2029551579011112,14363500,0.10909090909090909,0.9990049751243781
P06461,-1,0.6748,0.365,1.0,1.0,4,-2,0,1,-2,1,2,0.9199999999999999,0.9199999999999999,0.4,0.6901408450704226,0.4184610162187653,0.4533301036525671,12476770,0.23636363636363636,0.9930348258706467
P07650,-2,0.2768,0.31,1.0,1.0,2,2,1,-1,1,1,2,0.82,0.8800000000000001,1.0,0.9275653923541248,0.40093726941769775,0.25146294445958356,10381355,0.6727272727272727,0.9805970149253731
P07887,-1,0.6072,0.725,1.0,1.0,4,-1,1,-1,1,1,2,0.74,0.7,0.82,0.7706237424547284,0.4650836143515441,0.3197424329588922,17600240,0.6727272727272727,0.9805970149253731
P08050,-2,0.41,0.625,1.0,1.0,3,1,0,-1,0,1,-2,0.5,0.5,0.54,0.523138832997988,0.35563388154752107,0.28694300622722824,10934875,0.45454545454545453,0.9865671641791045
P04677,2,0.868,0.605,3.0,2.0,5,-1,1,0,-2,0,1,0.74,0.9199999999999999,0.8,0.8229376257545272,0.6035681690215281,0.5743987242760973,12372160,0.14545454545454545,0.9960199004975124
P03124,0,0.3876,0.35,1.0,1.0,3,-1,1,-1,-1,-1,2,0.6799999999999999,0.48,0.8,0.6398390342052315,0.34297739048420506,0.2951807107316236,11248750,0.3090909090909091,0.9920398009950249
P08147,2,0.6184,0.645,2.0,1.0,4,-2,0,-1,1,0,3,0.5,0.86,0.5599999999999999,0.6358148893360162,0.44868902209728007,0.2874637922507847,14241140,0.4909090909090909,0.9855721393034826
P06097,2,0.6836,0.03,2.0,1.0,4,-2,1,0,0,1,1,0.86,0.74,0.4,0.6438631790744468,0.4750254593351912,0.4717231356163139,10160600,0.36363636363636365,0.9895522388059701
P00959,-1,0.6636,0.515,1.0,1.0,4,0,1,1,0,-1,1,0.76,0.45999999999999996,0.76,0.6891348088531187,0.440330635965046,0.437268497491951,13539080,0.32727272727272727,0.9925373134328358
P00057,0,0.302,0.04,1.0,1.0,2,2,0,-1,-1,0,3,0.76,0.8800000000000001,0.54,0.7464788732394366,0.29438207500188024,0.08661801960012515,10727750,0.6,0.9860696517412936
P08607,-2,0.4728,0.25,1.0,1.0,3,2,1,0,1,-1,1,0.64,0.7,0.62,0.6458752515090543,0.3810749226056537,0.07966815030126866,9867055,0.3090909090909091,0.9900497512437811
P01632,-2,0.294,0.335,1.0,1.0,2,0,0,-1,0,-1,2,0.54,0.8,0.8,0.7263581488933601,0.289007665241757,0.26786568565113394,9478710,0.2545454545454545,0.9940298507462687
P00937,0,0.4356,0.0,1.0,1.0,3,2,1,0,-1,1,1,0.54,0.58,0.62,0.5835010060362174,0.239150054577497,0.09134142772075372,9050200,0.5818181818181818,0.9855721393034826
P09868,3,0.6136,0.03,2.0,1.0,4,1,1,1,-1,1,0,0.9400000000000001,0.9199999999999999,0.45999999999999996,0.7927565392354124,0.28920178632046034,0.12764102098283223,7904210,0.9636363636363636,0.9711442786069652
P08848,-3,0.6488,0.735,1.0,1.0,4,-1,1,0,-1,0,1,0.8800000000000001,0.74,0.8400000000000001,0.8340040241448692,0.38503052071200766,0.42190732834751365,13063450,0.09090909090909091,0.9960199004975124
P07681,2,0.8792,0.355,3.0,2.0,5,1,1,1,-2,0,3,0.96,0.8400000000000001,0.78,0.8571428571428571,0.6903484219277545,0.24679807430284312,13584980,0.38181818181818183,0.9885572139303482
P00407,0,0.5172,0.17,2.0,1.0,4,2,0,-1,-1,-1,1,0.62,0.44000000000000006,0.76,0.5935613682092556,0.4265724315545338,0.317705715525681,13116050,0.7090909090909091,0.9825870646766169
P06126,2,0.6564,0.89,2.0,1.0,4,1,0,1,1,0,1,0.9199999999999999,0.8800000000000001,0.62,0.7927565392354124,0.4681062116712504,0.3840070245556666,10012600,0.5272727272727272,0.9850746268656716
P09763,3,0.78,0.925,3.0,2.0,5,0,1,1,0,1,1,1.0,0.8400000000000001,0.6799999999999999,0.8370221327967807,0.41832685924290747,0.1710539861325582,12105920,0.7454545454545455,0.9771144278606965
P02652,1,0.498,0.53,1.0,1.0,3,1,0,1,0,1,-1,0.82,0.58,0.7,0.7042253521126761,0.20494815645955675,0.22834448582472927,4918375,0.509090909090909,0.9865671641791045
P06329,0,0.362,0.72,1.0,1.0,3,-1,0,1,-1,0,2,0.76,0.7,0.8,0.7525150905432596,0.2270434038470529,0.15549298049070961,7703200,0.6,0.9830845771144279
P01701,2,0.5984,0.675,2.0,1.0,4,-1,0,0,-2,0,2,0.64,0.76,0.5599999999999999,0.647887323943662,0.2699817668473721,0.27675336340973544,8569080,0.2545454545454545,0.9940298507462687
P09722,3,0.7568,0.19,3.0,2.0,5,0,1,0,-1,0,3,0.78,0.7,0.96,0.8028169014084507,0.4567689308705365,0.2697045851374128,12146620,0.6545454545454545,0.9796019900497512
P04743,3,0.6068,0.2,2.0,1.0,4,-1,0,-1,-1,1,0,0.8,0.9199999999999999,0.58,0.7927565392354124,0.41518230103605774,0.23559713769542093,11671620,0.2,0.9945273631840796
P06768,-2,0.4136,0.365,1.0,1.0,3,0,1,1,-1,0,0,0.76,0.6599999999999999,0.7,0.7094517426805511,0.2822398523460193,0.09342659036545857,9256740,0.2909090909090909,0.9915422885572139
P06746,3,0.702,0.71,2.0,1.0,4,-1,1,-1,-2,0,-2,0.9199999999999999,0.8,0.78,0.8289738430583502,0.5912257272426066,0.3914110677122758,14915900,0.6363636363636364,0.982089552238806
P00934,-3,0.6488,0.395,1.0,1.0,4,0,1,0,0,1,3,0.44000000000000006,0.6599999999999999,0.44000000000000006,0.4979879275653924,0.4130754267106539,0.4922437197848225,13547790,0.12727272727272726,0.9980099502487563
P00899,0,0.4368,0.445,1.0,1.0,3,2,0,1,1,-1,2,0.48,0.48,0.4,0.45875251509054327,0.25041720786810334,0.1160484855825032,8213040,0.07272727272727272,0.9995024875621891
P00566,0,0.3284,0.17,1.0,1.0,3,0,0,0,0,1,2,0.6799999999999999,0.9199999999999999,0.58,0.7505030181086519,0.18558381660334863,0.13269143428104277,7304000,0.14545454545454545,0.9980099502487563
P07878,2,0.6776,0.36,2.0,1.0,4,-1,0,1,0,0,1,0.8,0.4,0.78,0.676056338028169,0.3590640314984318,0.23072031973839585,10390900,0.2,0.9935323383084577
P05305,-3,0.7236,0.885,2.0,1.0,5,-1,0,-1,1,-1,1,0.6,0.7,0.4,0.5482897384305836,0.5270590554942364,0.4652395514780836,19206870,0.4727272727272727,0.9870646766169154
P02252,1,0.5604,0.1,2.0,2.0,4,1,1,1,1,0,1,0.76,0.86,0.8,0.8108651911468814,0.4456420326001451,0.462659843966048,9965375,0.2545454545454545,0.9935323383084577
P03571,1,0.588,0.495,2.0,2.0,4,-2,0,1,-2,-1,2,0.62,0.6,0.62,0.6177062374245473,0.30764023977510413,0.3491446392345657,7207000,0.45454545454545453,0.9880597014925373
P00942,0,0.3192,0.83,1.0,1.0,2,1,0,-1,-2,1,2,0.45999999999999996,0.52,0.72,0.5653923541247485,0.2581251359355721,0.2929502124524379,9070550,0.6727272727272727,0.9830845771144279
P08304,0,0.3056,0.685,1.0,1.0,2,1,0,0,-1,-1,2,0.6599999999999999,0.64,0.42000000000000004,0.5835010060362174,0.16136035173519853,0.1831289550973446,5670200,0.14545454545454545,0.9950248756218906
P07597,0,0.454,0.25,1.0,1.0,3,-2,0,1,-2,-1,3,0.9800000000000001,0.42000000000000004,0.76,0.6941649899396379,0.30094052170802155,0.29884841695178693,9253200,0.41818181818181815,0.9875621890547264
P06565,1,0.3756,0.37,1.0,1.0,3,-2,0,0,-1,-1,-2,0.9800000000000001,0.74,0.6599999999999999,0.7847082494969819,0.21820835391423304,0.07800890180761196,4294000,0.6909090909090909,0.9805970149253731
P06398,1,0.6344,0.295,2.0,2.0,4,2,1,-1,-2,0,3,0.78,0.6,0.9,0.7786720321931591,0.5965472872849678,0.4045659611832743,14316000,0.509090909090909,0.9855721393034826
P09293,-1,0.7892,0.315,2.0,1.0,5,-1,1,-1,1,0,3,0.52,0.58,0.9800000000000001,0.7464788732394366,0.9001384256069078,0.23523178005873982,23307000,0.6363636363636364,0.981094527363184
P09021,0,0.4092,0.22,1.0,1.0,3,1,1,0,1,1,3,0.6,0.5599999999999999,0.72,0.6237424547283703,0.2869322974788652,0.07860437419888777,9735150,0.3090909090909091,0.9900497512437811
P04325,0,0.3536,0.375,1.0,1.0,3,2,0,-1,-2,-1,3,0.45999999999999996,0.76,0.48,0.5895372233400403,0.2880411252111448,0.09153319001624934,11336400,0.07272727272727272,0.9980099502487563
P05031,-3,0.656,0.565,1.0,1.0,4,0,0,-1,-1,-1,2,0.5,0.62,0.7,0.613682092555332,0.5037441992353052,0.3930481121506646,17701600,0.09090909090909091,0.9975124378109452
P08918,-2,0.2488,0.3,1.0,1.0,2,2,0,1,-1,-1,1,0.54,0.9800000000000001,0.7,0.7122736418511066,0.22045040155622092,0.1459452367255074,6572900,0.36363636363636365,0.9885572139303482
P05947,-3,0.752,0.45,2.0,1.0,5,1,1,0,0,-1,3,0.64,0.8400000000000001,0.8,0.7585513078470826,0.4911253127788585,0.4335200492526317,13423020,0.2909090909090909,0.9915422885572139
